#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
627,Storefront Humber Inc. ,6,Local,1,56995,,,,,,,,56995,,,,,,,,,,,,10000,
628,Story Planet,18,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,,
629,Street Health Community Nursing Foundation,28,City-wide,1,35000,,,,35000,,,,,,,,,,,,,,,,15000,
630,Street Voices,19,Local,1,15000,,,,,,,,,,,,,,,,,,,,,
631,Student Assistance in North Toronto for Seniors,25,Area services,1,11190,,,,,,,,11190,,,,,,,,,,,,17000,
632,Studio 180 Theatre Company,18,City Wide,1,17000,,,,,,,,,,,,,,,,,,,,16000,
633,Subtle Technologies,19,City-wide,1,16000,,,,,,,,,,,,,,,,,,,,7000,
634,SuiteLife Arts for Youth,36,Local,1,7000,,,,,,,,,,,,,,,,,,,,45000,
635,SummerWorks Theatre Festival,18,Local,1,45000,,,,,,,,,,,,,,,,,,,,,
636,Sunshine Centre for Seniors,27,Local,2,51795,,,,,8000,,,43795,,,,,,,,,,,,,
637,Surface Art,11,Area services,1,38500,,,,,,,,,,,38500,,,,,,,,,8000,
638,Surviving Huronia Collective,20,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,,
639,Syme-Woolner Neighbourhood & Family Centre,12,Area services,1,103475,,,,,,,,103475,,,,,,,,,,,,180000,
640,Tafelmusik ,20,City-wide,1,180000,,,,,,,,,,,,,,,,,,,,14000,
641,Talisker Players Chamber  Music,20,City-wide,1,14000,,,,,,,,,,,,,,,,,,,,7000,
642,Talk yuh Talk,35,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,15000,
643,Tangled Art and Disability,28,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,65000,
644,Tapestry Opera ,28,City-wide,1,65000,,,,,,,,,,,,,,,,,,,,200000,
645,Tarragon Theatre,21,City-wide,1,200000,,,,,,,,,,,,,,,,,,,,6000,
646,TB West Community Services,28,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,105000,
647,tdsbCREATES - Prologue to the Performing Arts,27,City-wide,1,105000,,,,,,,,,,,,,,,,,,,,,
648,Teresa Group (The),22,Area Services,1,28805,,,,,,,,28805,,,,,,,,,,,,,
649,Tesoc Multicultural Settlement Services,37,City-wide,1,35715,,,,,,,,35715,,,,,,,,,,,,132000,
650,Textile Museum of Canada,27,City-wide,1,132000,,,,,,,,,,,,,,,,,,,,1500,
651,That Choir,27,City-wide,1,1500,,,,,,,,,,,,,,,,,,,,3000,
652,That's So Gay Collective,28,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,10000,
653,The Artist Mentoring Youth Project Inc. ,28,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,8500,
654,The Artist Newstand Collective,30,Local,1,8500,,,,,,,,,,,,,,,,,,,,8000,
655,The Bicycle Opera Collective,17,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,13000,
656,The Cabaret Theatre Company,20,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,25000,
657,The Cabbagetown Community Arts Centre,28,City-wide,1,25000,,,,,,,,,,,,,,,,,,,,8000,
658,The Chimera Project Dance Theatre,20,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,18000,
659,The Company Theatre,21,City-wide,1,18000,,,,,,,,,,,,,,,,,,,,9000,
660,The Corporation of Massey Hall and Roy Thomson Hall,20,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,28850,
661,The Dance Umbrella of Ontario,28,City-wide,1,28850,,,,,,,,,,,,,,,,,,,,,
662,The Dream Team,14,City-wide,1,35000,,,,35000,,,,,,,,,,,,,,,,13500,
663,The Dietrich Group Interdisciplinary Arts Project,30,City-wide,1,13500,,,,,,,,,,,,,,,,,,,,32300,
664,The Elmer Iseler Singers,25,City-wide,1,32300,,,,,,,,,,,,,,,,,,,,3000,
665,The Empty Room,18,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,8000,
666,The Empty Whole Group,30,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,84500,
667,The Esprit Orchestra,20,City-wide,1,84500,,,,,,,,,,,,,,,,,,,,,
668,The Film Stars Project,19,Area services,1,30000,30000,,,,,,,,,,,,,,,,,,,5000,
669,The FORCE for Cultural Events Productions,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,77000,
670,The Fringe of Toronto Theatre Festival,19,City-wide,1,77000,,,,,,,,,,,,,,,,,,,,38000,
671,The Hannaford Street Silver Band,31,City-wide,1,38000,,,,,,,,,,,,,,,,,,,,6000,
672,The InPrint Collective Inc. ,17,Local,1,6000,,,,,,,,,,,,,,,,,,,,2000,
673,The League of Lady Wrestlers,14,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,10000,
674,The Lemon Bucket Orkestra,4,Local,1,10000,,,,,,,,,,,,,,,,,,,,79000,
675,The Music Gallery,20,City-wide,1,79000,,,,,,,,,,,,,,,,,,,,21000,
676,The Nathaniel Dett Chorale,15,City-wide,1,21000,,,,,,,,,,,,,,,,,,,,8000,
677,The NDN Talent Collective,20,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,67000,
678,The Necessary Angel Theatre Company,20,City-wide,1,67000,,,,,,,,,,,,,,,,,,,,10000,
679,The Other's Collective,18,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,5000,
680,The Playwright Project,28,Local,1,5000,,,,,,,,,,,,,,,,,,,,195000,
681,The Power Plant,20,City-wide,1,195000,,,,,,,,,,,,,,,,,,,,,
682,The Public Realm,17,Area services,1,19000,,,,,,,,,,,19000,,,,,,,,,1500,
683,the red light district,20,City-wide,1,1500,,,,,,,,,,,,,,,,,,,,20000,
684,The Remix Project,14,City-wide,1,20000,,,,,,,,,,,,,,,,,,,,,
685,The Rhema Foundation Canada,9,City-wide,1,40000,40000,,,,,,,,,,,,,,,,,,,35000,
686,The Royal Conservatory of Music,20,City-wide,1,35000,,,,,,,,,,,,,,,,,,,,8000,
687,The Sage in Me Education Services,21,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,24000,
688,The Smile Company - Theatrical Productions,14,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,35500,
689,The Storytellers School of Toronto,18,City-wide,1,35500,,,,,,,,,,,,,,,,,,,,6000,
690,The Suck and Blow Collective,20,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,27000,
691,The Toronto Consort,20,City-wide,1,27000,,,,,,,,,,,,,,,,,,,,67000,
692,The Watah School,28,Local,1,67000,,,,,,,,,,,,,,,,,,,,,
693,The Wexford Residence,37,Area services,1,20630,,,,,,,,20630,,,,,,,,,,,,41500,
694,The Word on the Street,14,City-wide,1,41500,,,,,,,,,,,,,,,,,,,,20000,
695,The Workman Arts Project of Ontario,18,City-wide,1,20000,,,,,,,,,,,,,,,,,,,,5000,
696,Theatre 20,34,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,121000,
697,Theatre Centre,18,City-wide,1,121000,,,,,,,,,,,,,,,,,,,,51000,
698,Theatre Columbus,29,City-wide,1,51000,,,,,,,,,,,,,,,,,,,,79000,
699,Theatre Direct Canada,20,City-wide,1,79000,,,,,,,,,,,,,,,,,,,,10000,
700,Theatre Fix,28,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,25000,
701,Theatre Gargantua,20,Local,1,25000,,,,,,,,,,,,,,,,,,,,8250,
702,Theatre Non Nobis,29,City-wide,1,8250,,,,,,,,,,,,,,,,,,,,12500,
703,Theatre Ontario,20,City-wide,1,12500,,,,,,,,,,,,,,,,,,,,12000,
704,Theatre Parallax Toronto,28,City-wide,1,12000,,,,,,,,,,,,,,,,,,,,154000,
705,Theatre Passe Muraille,20,City-wide,1,154000,,,,,,,,,,,,,,,,,,,,6000,
706,Theatre Rusticle,27,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,10000,
707,Theatre Smash,27,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,41000,
708,Theatre Smith-Gilmour,18,City-wide,1,41000,,,,,,,,,,,,,,,,,,,,15000,
709,Theatrefront Inc.,21,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,3000,
710,Then They Fight,20,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,4000,
711,Thin Edge New Music Collective,19,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,7000,
712,Think 2wice,1,Local,1,7000,,,,,,,,,,,,,354822,,,,,,,,
713,"Thorncliffe Neighbourhood Office of Toronto for Social 
& Multi-Cultural Development",26,Area services,4,530182,35000,,18000,,,,,122360,,,,,,,,,,,,2000,
714,Throbbing Rose Collective,18,Local,1,2000,,,,,,,,,,,,,,,,,,,,8000,
715,Throwdown Collective,19,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,,
716,Tibetan Canadian Cultual Centre,5,City-wide,1,8000,,,,,8000,,,,,,,,,,,,,,,2500,
717,Timeshare,21,City-wide,1,2500,,,,, ,,,,,,,,,,,,,,,5000,
718,TLK,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
719,Tobias House Attendant Care Inc.,32,City-wide,1,36610,,,,,,,,36610,,,,,,10000,,,,,,,
720,Tobomory Youth Council,8,Local,1,10000,,,,,,,,,,,,,,,,,,30000,,,
721,Toronto Aboriginal Support Services Council,20,City-wide,1,30000,,,,,,,,,,,,,,,,,,,,78000,
722,Toronto Alliance for the Performing Arts,20,City-wide,1,78000,,,,,,,,,,,,,,,,,,,,3500,
723,Toronto Alternative Arts and Fashion Week,28,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,,
724,Toronto and Central Ontario Hemophilia Society,27,City-wide,1,25925,,,,,,,,25925,,,,,,,,,,,,6000,
725,Toronto Animated Image Society,17,Local,1,6000,,,,,,,,,,,,,,,,346690,,,,,
726,Toronto Artscape Inc. - Artscape,19,City-wide,1,346690,,,,,,,,,,,,,,,,,,,,6000,
727,Toronto Art Book Fair,14,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,32000,
728,Toronto Blues Society,20,City-wide,1,32000,,,,,,,,,,,,,,,,,,,,7500,
729,Toronto Chamber Choir,27,City-wide,1,7500,,,,,,,,,,,,,,,,,,,,38000,
730,Toronto Children's Chorus,20,City-wide,1,38000,,,,,,,,,,,,,,,,,,,,7000,
731,Toronto Chinese Opera Group,39,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,,
732,Toronto Coalition for Better Child Care,19,City-wide,1,23045,,,,,,,,23045,,,,,,,,,,,,,
733,Toronto Community & Culture Centre,20,City-wide,1,20655,,,,,,,,20655,,,,,,,,,,,,4000,
734,Toronto Creative Orchestra Projects,14,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,8000,
735,Toronto Dance Community Love-In,19,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,160000,
736,Toronto Dance Theatre,20,City-wide,1,160000,,,,,,,,,,,,,,,,,,,,42300,
737,Toronto Downtown Jazz ,27,City-wide,1,42300,,,,,,,,,,,,,,,,345000,,,,,
738,"Toronto Festival of Arts, Culture and Creativity - Luminato TO Festival",19,City-wide,1,345000,,,,,,,,,,,,,,,,,,,,12000,
739,Toronto Festival of Comics and Graphic Arts,27,City-wide,1,12000,,,,,,,,,,,,,,,,,,,,,
740,Toronto Finnish- Canadian Seniors Centre,26,City-wide,1,17050,,,,,,,,17050,,,,,,,,,,,6423315,,
741,Toronto Foundation for Student Success,12,City-wide,1,6423315,,,,,,,,,,,,,,,,,,,,15000,
742,Toronto Heritage Dance,28,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,,
743,Toronto Intergenerational Partnerships,29,Area services,1,47245,,,,,,,,47245,,,,,,,,1050000,,,,,
744,Toronto International Film Festival TIFF,20,City-wide,2,1085000,,,,,,,,,35000,,,,,,,,,,,5000,
745,Toronto Jazz Orchestra,30,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,24000,
746,Toronto Jewish Film Festival,20,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,,
747,Toronto Kiwanis Boys and Girls Clubs,28,Local,1,94645,,,,,,,,94645,,,,,,,,,,,,,
748,Toronto Lords Community Association/Basketball Association,19,City-wide,1,6690,,,,,,,,,,6690,,,,,,,,,,10000,
749,Toronto Masque Theatre,28,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,66000,
750,Toronto Mendelssohn Choir,20,City-wide,1,66000,,,,,,,,,,,,,,,,,,,,,
751,Toronto Neighbourhood Centres,30,City-wide,1,45000,45000,,,,,,,,,,,,,,,,,,,23000,
752,Toronto Operetta Theatre,28,City-wide,1,23000,,,,,,,,,,,,,,,,,,,,,
753,Toronto Park People,20,Area services,2,53000,,,,,,25000,,,,,28000,,,,,,,,,,
754,Toronto People With AIDS Foundation,28,City-wide,1,31255,,,,,,,,31255,,,,,,,,,,,,68000,
755,Toronto Photographers Workshop,18,City-wide,1,68000,,,,,,,,,,,,,,,,,,,,,
756,Toronto Rape Crisis Centre / Multicultural Women Against Rape,20,City-wide,2,95060,,,,43000,,,,52060,,,,,,,,,,,,50000,
757,Toronto Reel Asian International Film Festival,20,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,41000,
758,Toronto Smith-Gilmour,20,City-wide,1,41000,,,,,,,,,,,,,,,,,,,,21000,
759,Toronto Summer Music Foundation,20,City-wide,1,21000,,,,,,,,,,,,,,,,1220000,,,,,
760,Toronto Symphony Orchestra ,20,City-wide,1,1220000,,,,,,,,,,,,,,,,,,,,,
761,Toronto Women's City Alliance,15,City-wide,1,45000,45000,,,,,,,,,,,,,,,,,,,7500,
762,TorQ Percussion Quartet,20,Local,1,7500,,,,,,,,,,,,,,,,,28302,,,,
763,Town of York Historical Society (Toronto's First Post Office),28,City-wide,2,32282,,,,,,,,,3980,,,,,,,,,,,6500,
764,Tough Guy Mountain,20,City-wide,1,6500,,,,,,,,,,,,,,,,,,,,5500,
765,Toy Piano Composers,27,City-wide,1,5500,,,,,,,,,,,,,,,,,,,,,
766,Transcare Community Support Services,39,Area services,1,80630,,,,,,,,80630,,,,,,,,,,,,15000,
767,Tribal Crackling Wind for the Arts,28,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,,
768,Trinidad and Tobago 50 Plus and Seniors,37,City-wide,1,20000,,,,,,20000,,,,,,,,,,,,,,50000,
769,Trinity Square Video,20,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,,
770,Tropicana Community Services,41,City-wide,1,90865,,,,,,,,90865,,,,,,,,,,,,10000,
771,TUDS,33,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,3000,
772,Tune Your Ride Collective,14,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,12000,
773,Turtle House Art/Play Centre,20,City-wide,1,12000,,,,,,,,,,,,,,,,,,,,,
774,Ukrainian Canadian Social Services (Toronto) Inc. ,13,City-wide,1,38095,,,,,,,,38095,,,,,,,,,,,,5000,
775,Uma Nota Culture,18,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
776,Unison Health and Community Services,15,Local,2,70440,,,,40000,,,,30440,,,,,,,,,,,,7000,
777,Unit 2,21,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,20000,
778,UNITY Charity,37,Area services,1,20000,,,,,,,,,,,,,,,,,,,,,
779,University Settlement ,20,Local,1,126425,,,,,,,,126425,,,,,,,,,,,,23500,
780,University Settlement Music School,20,City-wide,1,23500,,,,,,,,,,,,,,,,,,,,10000,
781,Univox Choir Toronto,18,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,,
782,Upfront Theatre Foundation,8,City-wide,1,45000,,,,,,,,,45000,,,,,,,,,,,,
783,Urban Alliance on Race Relations,20,City-wide,1,42000,42000,,,,,,,,,,,,,,232935,,,,,,
784,UrbanArts Community Arts Council,11,City-wide,2,256235,,,,,,,,,,,23300,,,,,,,,,,
785,Urban Non-Violent Initiatives Through Youth (UNITY),16,Area services,1,39000,,,,39000,,,,,,,,,,,,,,,,,
786,Urban Squash Toronto,9,City-wide,1,11625,,,,,,,,,,11625,,,,,,,,,,6000,
787,Untold Stories,21,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,,
788,Valley Park Go Green Cricket Field Project,26,City-wide,1,15000,,,,,,15000,,,,,,,,,,,,,,6100,
789,Vanguardia Dance Projects,20,City-wide,1,6100,,,,,,,,,,,,,,,,,,,,,
790,Vermont Square Parent-Child Mother Goose Program ,19,City-wide,1,25805,,,,,,,,25805,,,,,,,,,,,,8000,
791,Vesnivka Choir Inc.,13,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,,
792,Victim Services Program of Toronto,27,City-wide,1,258090,,,,,,,,258090,,,,,,,,,,,,60000,
793,VideoCabaret International,28,City-wide,1,60000,,,,,,,,,,,,,,,,,,,,9000,
794,Videofag,27,Local,1,9000,,,,,,,,,,,,,,,,,,,,,
795,Vietnamese Women's Association Toronto,17,City-wide,1,59885,,,,,,,,59885,,,,,,,,,,,,,
796,Villa Colombo Homes For The Aged,15,City-wide,1,30040,,,,,,,,30040,,,,,,,,,,,,4000,
797,Visible Evidence XXII 2015,28,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,5000,
798,Visions of Science Network for Learning,38,Local,1,5000,,,,,,,,,,,,,,,,,,,,20000,
799,VIVA! Youth Singers of Toronto,20,City-wide,1,20000,,,,,,,,,,,,,,,,,,,,10000,
800,VOID Incubator,19,Local,1,10000,,,,,,,,,,,,,,,,,,,,65000,
801,Volcano Non-Profit Productions Inc.,21,City-wide,1,65000,,,,,,,,,,,,,,,,,,,,,
802,Volunteer Centre of Toronto,20,City-wide,1,192420,,,,,,,,192420,,,,,,,,,,,,80000,
803,Vtape,20,City-wide,2,125000,,,,,,,,,45000,,,,,,,,,,,,
804,Warden Woods Church & Community Centre,35,Area services,2,242140,,,,,6500,,,235640,,,,,,,,,,,,,
805,Welcome House,10,City-wide,1,11525,,,,,,,,,,11525,,,,,,,,,,24000,
806,West Neighbourhood House Music School,19,Area services,1,24000,,,,,,,,,,,,,,,,,,,,,
807,West Scarborough Aquatics - WSNCC,35,City-wide,1,11625,,,,,,,,,,11625,,,,,,,,,,,
808,West Scarborough Neighbourhood Community Centre,35,Local,2,199215,,,,,,,,187215,,,12000,,,,,,,,,,
809,West Toronto Support Services for Senior Citizens and the Disabled Inc.,18,Area services,1,41845,,,,,,,,41845,,,,,,,,,,35000,,,
810,Weston-Mount Dennis Pro Tech Media Centre,11,Area services,1,35000,,,,,,,,,,,,,,,,,,,,2000,
811,Whippersnapper Gallery,20,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,27000,
812,Whynot Theatre,28,City-wide,1,27000,,,,,,,,,,,,,,,,,,,,,
813,Woman Abuse Council of Toronto,12,City-wide,1,57605,,,,,,,,57605,,,,,,,,,,,,2500,
814,Women's Musical Club of Toronto,20,City-wide,1,2500,,,,,,,,,,,,,,,,,,,,,
815,WoodGreen Community Services,30,Area services,1,392795,,,,,,,,392795,,,,,,,,,,,,4000,
816,Words By The Water,6,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,4725,
817,words(on)pages,20,City-wide,1,4725,,,,,,,,,,,,,,,,,,,,,
818,Worker's Action Centre,20,City-wide,2,65290,10000,,,,,,,55290,,,,,,,,,,,,,
819,Working Women Community Centre,18,Area services,2,363215,,240000,,,,,,123215,,,,,,,,,,,,3500,
820,World Fiddle Day Toronto,20,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,2000,
821,Wunderkabinett Collective,27,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,4000,
822,Wychwood Clarinet Choir,21,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,4000,
823,Xspace Cultural Centre,18,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,3000,
824,York Heritage Quilters Guild,25,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
825,York West Active Living Centre,11,Area services,1,110190,,,,,,,,110190,,,,,,,,,,,,,
826,York-Eglinton Business Improvement Area,15,City Wide,1,30000,,,,,,30000,,,,,,,,,,,,,,,
827,York-Fairbank Centre For Seniors,15,Area services,1,215365,,,,,,,,215365,,,,,,,,,,,,,
828,Yorkminster Park Meals on Wheels,22,Area services,1,8920,,,,,,,,8920,,,,,,,,,,,,,
829,Yorktown Child and Family Centre,15,Area services,1,34570,,,,,,,,34570,,,,,,,,,,,,321000,
830,Young People's Theatre (Lorraine Kimsa Theatre For Young People),28,City-wide,1,321000,,,,,,,,,,,,,,,,,,30000,,,
831,Youth Arts Action (YAA),15,Area services,1,30000,,,,,,,,,,,,,,,,,,,,,
832,Youth Assisting Youth,23,City-wide,1,54190,,,,,,,,54190,,,,,,,,,,,,,
833,Youthlink,35,Area services,3,81960,,,18000,,10000,,,53960,,,,,,,,,,,,4000,
834,YTB Gallery,20,Local,1,4000,,,,,,,,,,,,,,,,,,,,65000,
835,YYZ Artists Outlet,20,City-wide,1,65000,,,,,,,,,,,,,,,,,,,,,
836,Zata Omm Dance Projects,30,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,15000,
837,Zou Theatre Company,13,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,7000,
